,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
31,0.02,0.125,0.2,0.115,0.11,0.03,0.01,0.007142857142857143,0.01,0.0,0.07
32,0.0,0.0,0.09,0.02,0.07,0.13,0.0,0.0075,0.0,0.0,0.0
33,0.03,0.20216666666666666,0.10799999999999998,0.3975,0.03,0.18666666666666665,0.0,0.0,0.0,0.0,0.01
34,0.03,0.03,0.0925,0.03,0.08,0.065,0.01,0.0,0.03,0.0,0.01
35,0.0,0.0,0.04,0.03,0.17,0.09,0.027000000000000003,0.0,0.0,0.0,0.0
36,0.0,0.0075,0.02,0.02,0.03,0.04,0.0,0.0,0.0,0.0,0.0
37,0.0,0.04,0.10666666666666666,0.055,0.05,0.04,0.0,0.02,0.01,0.0,0.01
38,0.0,0.0,0.07400000000000001,0.06166666666666667,0.092,0.0325,0.01,0.0,0.0,0.0,0.0
39,0.02,0.02,0.12,0.06,0.05,0.01,0.0,0.0,0.01,0.0,0.02
40,0.03,0.01,0.2316666666666667,0.1,0.12,0.035,0.0,0.018333333333333333,0.07,0.0,0.0
41,0.0,0.01,0.28,0.08199999999999999,0.17,0.17,0.0,0.0,0.0,0.0,0.0
42,0.0,0.02,0.016666666666666666,0.0726111111111111,0.6014444444444446,0.26502380952380944,0.0,0.0,0.0,0.0,0.0
43,0.045,0.06,0.145,0.08,0.07,0.04333333333333334,0.005,0.03,0.04,0.02,0.01
44,0.02,0.01,0.125,0.08,0.11666666666666665,0.05,0.0375,0.016,0.06,0.02,0.0
45,0.0,0.01,0.05,0.075,0.03,0.095,0.33,0.0,0.01,0.0,0.07
46,0.01,0.065,0.11,0.12,0.08,0.07,0.0,0.02,0.01,0.01,0.0
47,0.0,0.02,0.08,0.07333333333333333,0.01,0.13,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.13,0.01,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.01,0.01,0.02,0.08,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.05,0.05,0.03133333333333333,0.07666666666666667,0.01,0.0,0.01,0.0,0.01
51,0.018000000000000002,0.06166666666666666,0.06,0.09666666666666666,0.03333333333333333,0.006666666666666666,0.01,0.01,0.01,0.0,0.12
52,0.0,0.0,0.03,0.06,0.16,0.06,0.0,0.0,0.0,0.0,0.02
53,0.0,0.0,0.14,0.0,0.33,0.09,0.0,0.0,0.02,0.0,0.01
54,0.0,0.02928571428571429,0.14,0.095,0.05,0.01,0.015333333333333332,0.02,0.02,0.02,0.0
55,0.0,0.01,0.01,0.0,0.29,0.19,0.01,0.0,0.0,0.0,0.0
56,0.0,0.055999999999999994,0.0,0.08,0.025,0.0,0.0,0.0,0.0,0.0,0.0
57,0.01,0.035,0.06,0.04,0.15,0.05,0.03,0.03,0.0,0.02,0.02
58,0.0,0.01,0.015,0.025,0.01,0.01,0.0,0.0,0.02,0.17,0.0
59,0.004,0.02,0.04,0.078,0.05,0.0,0.0,0.01,0.8,0.0,0.0
60,0.02,0.055,0.16399999999999998,0.16983333333333334,0.013333333333333332,0.04,0.01,0.0,0.01,0.0,0.02
61,0.03,0.07833333333333332,0.02,0.105,0.05,0.03,0.0,0.0,0.0,0.01,0.0
62,0.02,0.0,0.02,0.02,0.08666666666666668,0.06,0.0,0.0,0.0,0.0,0.01
63,0.0,0.025,0.16,0.04333333333333333,0.05,0.03,0.0,0.0,0.0,0.01,0.0
64,0.0,0.01,0.02,0.02,0.03,0.21,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.04,0.0,0.1725,0.04,0.01,0.0,0.0,0.0,0.015
66,0.01,0.04833333333333334,0.098,0.10400000000000001,0.04,0.02,0.0175,0.01,0.03,0.0,0.02
67,0.01,0.01,0.02,0.01,0.16,0.14333333333333334,0.01,0.01,0.0,0.0,0.0
68,0.0,0.01,0.4,0.06,0.03333333333333333,0.01,0.0,0.01,0.0,0.0,0.01
69,0.0,0.0,0.0725,0.02,0.04,0.03,0.0,0.15,0.01,0.02,0.03
70,0.01,0.01,0.02,0.04,0.05428571428571429,0.1,0.0,0.05,0.01,0.0,0.0
71,0.01,0.04866666666666667,0.177,0.06499999999999999,0.07833333333333332,0.05,0.0,0.04,0.02,0.01,0.0
72,0.0,0.0,0.05,0.02,0.07,0.02,0.0,0.0,0.0,0.0,0.0
73,0.01,0.0,0.38,0.02,0.07666666666666667,0.01,0.0,0.02,0.0,0.01,0.0
74,0.0225,0.025,0.1402857142857143,0.13483333333333333,0.02,0.09666666666666668,0.01,0.06416666666666666,0.0,0.04,0.03
75,0.01,0.0575,0.04583333333333333,0.095,0.04,0.03,0.02,0.01,0.04,0.01,0.0
76,0.0,0.08,0.1,0.04,0.09,0.06,0.0,0.035,0.06,0.01,0.04
77,0.54,0.06,0.03,0.67,0.58,0.59,0.01,0.55,0.0,0.02,0.13
78,0.0,0.08,0.01,0.37,0.07,0.1,0.0,0.0,0.0,0.0,0.0
79,0.0,0.02,0.06,0.04333333333333333,0.055,0.01,0.0,0.01,0.04,0.0,0.01
80,0.015,0.01,0.6313333333333333,0.17166666666666663,0.045,0.0,0.0,0.0,0.0,0.0,0.01
81,0.016666666666666666,0.0,0.105,0.07833333333333332,0.06,0.03333333333333333,0.0,0.025,0.0,0.01,0.06
82,0.0,0.04666666666666666,0.15,0.03,0.08,0.08,0.02,0.01,0.01,0.01,0.0
83,0.0,0.03,0.02,0.0,0.13,0.15,0.0,0.01,0.0,0.0,0.0
84,0.02333333333333333,0.04,0.09666666666666666,0.06249999999999999,0.03333333333333333,0.06416666666666666,0.01,0.0,0.01,0.0,0.06
85,0.0,0.01,0.07,0.04,0.15,0.04,0.01,0.01,0.0,0.0,0.01
86,0.0,0.09,0.04,0.16,0.14,0.11,0.0,0.01,0.0,0.0,0.0
87,0.0,0.0,0.085,0.01,0.57,0.31,0.0,0.0,0.0,0.0,0.0
88,0.0,0.016666666666666666,0.02,0.06833333333333333,0.0,0.01,0.0,0.01,0.79,0.0,0.01
89,0.04,0.04333333333333334,0.09533333333333333,0.115,0.07200000000000001,0.05,0.013333333333333332,0.01,0.03,0.0,0.01
90,0.02333333333333333,0.06333333333333332,0.165,0.09,0.0825,0.035,0.01,0.01,0.01,0.02,0.01
91,0.01,0.0,0.09,0.008333333333333333,0.02,0.0,0.0,0.0,0.0,0.68,0.0
92,0.01,0.03,0.175,0.095,0.07,0.04,0.02,0.03,0.01,0.0,0.0
93,0.01,0.01,0.02,0.026666666666666665,0.095,0.06,0.02,0.0,0.01,0.0,0.02
94,0.045,0.105,0.05,0.13,0.04,0.04,0.0,0.0,0.02,0.0,0.0
95,0.0,0.02,0.0,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0
96,0.03,0.08,0.12083333333333332,0.1,0.11,0.09,0.0,0.0,0.01,0.01,0.0
97,0.0,0.0,0.0,0.0,0.05,0.06,0.0,0.0,0.0,0.0,0.0
98,0.0,0.02,0.1,0.05,0.135,0.02,0.02,0.06,0.06,0.0,0.0
99,0.0,0.01,0.05,0.12416666666666666,0.08,0.01,0.0,0.0,0.03,0.0,0.0
100,0.0,0.06,0.02,0.045,0.01,0.07,0.0,0.0,0.0,0.0,0.0
101,0.0,0.02,0.1325,0.055,0.03666666666666667,0.02,0.01,0.03,0.01,0.0,0.04
102,0.0,0.03983333333333333,0.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.93,0.01,0.0
104,0.01,0.09483333333333333,0.02,0.073,0.06,0.077,0.12916666666666665,0.08816666666666667,0.0,0.01,0.02
105,0.01,0.018000000000000002,0.07,0.12,0.04,0.02,0.02,0.02,0.02,0.03,0.08
106,0.0,0.0,0.05,0.0125,0.09,0.02,0.0,0.02,0.0,0.0,0.0
107,0.01633333333333333,0.07,0.15,0.0,0.14461538461538462,0.06,0.01,0.08,0.08,0.03,0.05
108,0.0,0.0,0.045,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0
109,0.0,0.01,0.08,0.04666666666666667,0.05800000000000001,0.03,0.0,0.0,0.02,0.01,0.01
110,0.01,0.0,0.58,0.0,0.63,0.0275,0.02,0.003333333333333333,0.0,0.0,0.02
111,0.0,0.02,0.165,0.04,0.07,0.04,0.0,0.01,0.02,0.0,0.0
112,0.02,0.028333333333333332,0.20088095238095238,0.21326190476190474,0.03,0.035,0.0,0.01,0.0,0.0,0.0
113,0.0,0.03666666666666667,0.096,0.02,0.10400000000000001,0.11,0.0,0.01,0.0,0.01,0.0
114,0.0,0.01,0.02,0.015,0.02,0.02,0.0,0.01,0.9,0.0,0.02
115,0.0,0.02,0.02,0.0775,0.03333333333333333,0.05,0.0,0.05,0.0,0.0,0.0
116,0.0,0.008461538461538461,0.125,0.045,0.05,0.03,0.02,0.03,0.01,0.03,0.055
117,0.0,0.07,0.05,0.08,0.03,0.02,0.0,0.0,0.0,0.0,0.0
118,0.01,0.03,0.07,0.32,0.05,0.045,0.0,0.04833333333333334,0.0,0.0,0.01
119,0.01,0.0,0.09,0.0,0.24,0.13,0.0,0.02,0.0,0.0,0.02
120,0.0,0.01,0.025,0.05,0.12866666666666668,0.03,0.0,0.01,0.01,0.0,0.05
121,0.02,0.04,0.12,0.02,0.13,0.04,0.0,0.03,0.04,0.0,0.0
122,0.01,0.06,0.0825,0.11333333333333334,0.07,0.03,0.01,0.023333333333333334,0.01,0.0,0.06
123,0.01,0.0,0.7375,0.02333333333333333,0.01,0.02,0.0,0.01,0.0,0.01,0.0
124,0.0,0.02,0.02,0.01,0.09,0.07,0.04,0.02,0.01,0.0,0.01
125,0.0,0.03,0.28,0.04,0.04,0.045,0.01,0.01,0.01,0.0,0.0
126,0.0,0.02,0.04,0.03,0.08,0.13,0.0,0.01,0.02,0.01,0.0
127,0.0,0.01,0.05,0.06,0.49,0.44,0.0,0.0,0.0,0.0,0.0
128,0.0,0.04,0.042,0.06,0.025,0.022222222222222223,0.01,0.02,0.59,0.0,0.01
129,0.0,0.49,0.01,0.43,0.02,0.03,0.0,0.0,0.0,0.02,0.0
130,0.0,0.0,0.02,0.03,0.01,0.0,0.0,0.01,0.55,0.0,0.0
131,0.0,0.0,0.01,0.32,0.03,0.03,0.0,0.0,0.0,0.0,0.0
132,0.0,0.04,0.05,0.02,0.0,0.01,0.0,0.0,0.0,0.71,0.02
133,0.0,0.0,0.06,0.02,0.325,0.12,0.0,0.0,0.0,0.0,0.0
134,0.01,0.03,0.06,0.07166666666666667,0.105,0.04,0.0,0.01,0.01,0.01,0.0
135,0.0,0.095,0.0,0.17,0.01,0.01,0.0,0.0,0.0,0.0,0.02
136,0.0,0.0,0.01,0.0,0.375,0.01,0.0,0.0,0.0,0.0,0.0
137,0.01,0.01,0.05,0.06,0.25,0.09,0.01,0.03,0.02,0.0,0.0
138,0.0,0.016666666666666666,0.076,0.05,0.026666666666666665,0.03,0.0,0.003333333333333333,0.01,0.03,0.0
139,0.04166666666666666,0.345,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.01,0.006666666666666666,0.03,0.09333333333333332,0.07,0.04,0.0,0.0,0.7,0.0,0.01
141,0.01,0.0225,0.0,0.0,0.67,0.1,0.0,0.0,0.0,0.0,0.01
142,0.0,0.0,0.04,0.005,0.06,0.03,0.0,0.0,0.0,0.0,0.0
143,0.0,0.01,0.08,0.0,0.47,0.42,0.0,0.0,0.0,0.0,0.01
144,0.0,0.02,0.05,0.04,0.08,0.04,0.02,0.0,0.0,0.0,0.0
145,0.03,0.035,0.08833333333333332,0.075,0.06,0.04,0.0,0.01,0.02,0.04,0.03
146,0.02,0.02,0.0,0.01,0.125,0.05,0.01,0.0,0.0,0.01,0.0
147,0.0,0.003333333333333333,0.0,0.02,0.0,0.01,0.0,0.0,0.8,0.0,0.01
148,0.0,0.0,0.03,0.019999999999999997,0.0,0.0,0.01,0.0,0.0,0.0,0.01
149,0.02,0.13933333333333334,0.07333333333333333,0.3366666666666667,0.035,0.01,0.0,0.0175,0.02,0.01,0.005
150,0.0,0.0,0.11,0.03,0.03,0.01,0.0,0.01,0.01,0.0,0.06
151,0.0,0.045,0.07,0.07166666666666667,0.06,0.04,0.0,0.0,0.01,0.01,0.01
152,0.0,0.0,0.025,0.02,0.07,0.06,0.0,0.0,0.01,0.0,0.02
153,0.0,0.09,0.085,0.14666666666666667,0.045,0.02,0.01,0.01,0.01,0.02,0.0
154,0.013333333333333332,0.016666666666666666,0.51125,0.12608333333333335,0.045,0.02,0.045,0.02,0.02,0.0,0.0
155,0.0,0.0725,0.05666666666666667,0.01583333333333333,0.29,0.1,0.01,0.0,0.02,0.0,0.0
156,0.0,0.01,0.24,0.09,0.16,0.07,0.01,0.0,0.0,0.0,0.0
157,0.0,0.01,0.085,0.07,0.01,0.01,0.0,0.01,0.51,0.0,0.0
158,0.0,0.02,0.08,0.1,0.045,0.02,0.00125,0.01,0.0,0.0,0.0
159,0.0,0.01,0.05,0.01,0.04,0.02,0.0,0.0,0.33,0.0,0.0
160,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.0,0.0
161,0.0025,0.11,0.1,0.06,0.13,0.0025,0.0,0.02,0.0,0.0,0.01
162,0.0,0.03,0.18,0.03,0.08333333333333331,0.02,0.0,0.01,0.0,0.0,0.01
163,0.0,0.0155,0.0,0.03,0.11,0.13,0.0,0.0,0.0,0.0,0.02
164,0.01,0.025,0.1,0.0,0.03,0.01,0.02,0.02,0.02,0.07,0.02
165,0.01,0.04333333333333334,0.13,0.07666666666666667,0.05,0.013333333333333332,0.0,0.055,0.01,0.02,0.0
166,0.01,0.01,0.03,0.04,0.07,0.03333333333333333,0.01,0.0,0.0,0.0,0.0
167,0.0,0.0,0.04,0.03333333333333333,0.02,0.0,0.0,0.0,0.86,0.01,0.02
168,0.02,0.09,0.10666666666666666,0.10666666666666666,0.03,0.04,0.01,0.0,0.05,0.0,0.02
169,0.0,0.02,0.1,0.03,0.39,0.39,0.0,0.0,0.0,0.0,0.02
170,0.0,0.05,0.52,0.05,0.0875,0.03,0.06,0.07,0.0,0.0,0.01
171,0.0,0.06,0.07,0.08666666666666666,0.05333333333333333,0.01,0.01,0.02,0.04,0.01,0.02
172,0.05,0.0,0.06,0.06,0.03,0.02,0.02,0.01,0.02,0.0,0.0
173,0.02,0.09,0.16833333333333333,0.1765,0.08,0.051428571428571435,0.03333333333333333,0.03,0.1,0.01,0.05
174,0.02,0.03,0.10333333333333332,0.016666666666666666,0.08,0.03,0.0,0.01,0.02,0.02,0.04
175,0.0,0.05666666666666667,0.2,0.05,0.06,0.03,0.01,0.02,0.02,0.01,0.15
176,0.02,0.04,0.09666666666666666,0.09333333333333332,0.06,0.06,0.0,0.05,0.08,0.04,0.07
177,0.0,0.03,0.0,0.07,0.06,0.07,0.0,0.0,0.0,0.0,0.0
178,0.01,0.05333333333333334,0.065,0.065,0.1,0.05,0.0275,0.02,0.02,0.0,0.04
179,0.03,0.04,0.105,0.05583333333333333,0.13,0.015,0.003333333333333333,0.015,0.0,0.03,0.01
180,0.003333333333333333,0.02,0.02,0.0,0.02,0.0,0.0,0.01,0.86,0.0,0.0
181,0.0,0.02,0.05,0.04,0.225,0.09,0.0,0.01,0.0,0.0,0.02
182,0.005,0.04,0.025,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.01,0.03,0.1,0.0,0.0,0.0,0.0,0.0
184,0.015,0.026666666666666665,0.05,0.03866666666666667,0.055,0.06,0.06916666666666665,0.07083333333333333,0.0,0.0,0.0
185,0.015,0.145,0.05,0.7525,0.03,0.006666666666666666,0.01,0.065,0.0,0.01,0.04
186,0.0,0.005,0.11,0.035,0.04,0.02,0.0,0.02,0.0,0.0,0.01
187,0.0,0.0,0.14,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0
188,0.0,0.08,0.02,0.03,0.01,0.03,0.0,0.03,0.01,0.03,0.02
189,0.04,0.04833333333333333,0.07,0.10733333333333332,0.04,0.05,0.0,0.025,0.25,0.02,0.0
190,0.02,0.02,0.045,0.75,0.02,0.01,0.0,0.0,0.01,0.01,0.0
191,0.0,0.01,0.11,0.03,0.18,0.05,0.0,0.02,0.01,0.0,0.0
192,0.1535,0.04666666666666667,0.4246666666666667,0.3533333333333333,0.0,0.01,0.0,0.08766666666666666,0.0,0.0,0.0
193,0.0,0.045,0.0725,0.045,0.025,0.01,0.01,0.0,0.01,0.0,0.0
194,0.0,0.1,0.06,0.095,0.03,0.03,0.013333333333333332,0.0,0.03,0.01,0.0
195,0.03,0.04,0.07142857142857142,0.1025,0.18,0.07,0.005,0.03,0.01,0.0,0.05
196,0.0,0.056666666666666664,0.0,0.6123333333333334,0.0,0.01,0.0,0.01,0.0,0.0,0.0
197,0.01,0.02,0.01,0.0575,0.0,0.01,0.006666666666666666,0.005,0.03,0.0,0.01
198,0.01,0.035,0.06,0.03333333333333333,0.125,0.05,0.05,0.0,0.02,0.0,0.05
199,0.0,0.0,0.0,0.0,0.04,0.19,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.05,0.02,0.06,0.03,0.01,0.01,0.01,0.0,0.0
201,0.02333333333333333,0.01,0.5425,0.1991666666666667,0.06,0.01,0.02,0.0,0.0,0.0,0.0
202,0.0,0.03,0.62,0.205,0.05,0.0,0.0,0.01,0.02,0.0,0.02
203,0.045,0.12533333333333332,0.23,0.07833333333333334,0.06785714285714285,0.04,0.015,0.055999999999999994,0.05,0.01,0.05
204,0.01,0.02,0.03,0.045,0.016666666666666666,0.0,0.0,0.0,0.94,0.0,0.01
205,0.0,0.01,0.01,0.02,0.48,0.02,0.0,0.0,0.0,0.04,0.02
206,0.0,0.0,0.0,0.0,0.01,0.11,0.0,0.0,0.0,0.0,0.0
207,0.02333333333333333,0.012433862433862432,0.06,0.067,0.0911111111111111,0.03,0.0,0.045,0.01,0.0,0.01
208,0.0,0.05,0.05,0.05,0.04,0.05,0.0,0.0,0.0,0.0,0.01
209,0.02,0.05,0.14,0.025,0.095,0.04,0.0,0.03,0.02,0.01,0.03
210,0.02,0.02,0.11,0.07666666666666667,0.07,0.06,0.02333333333333333,0.06,0.1,0.01,0.0
211,0.01,0.5121150053893996,0.16674999999999998,0.2307142857142857,0.03,0.03,0.0,0.01,0.01,0.02,0.0
212,0.0,0.02,0.55,0.0225,0.03,0.02,0.01,0.01,0.0,0.0,0.0
213,0.01,0.03,0.05,0.02,0.05,0.05,0.01,0.01,0.0,0.0,0.02
214,0.0,0.01,0.08,0.013333333333333332,0.07,0.01,0.0,0.04,0.0,0.0,0.0
215,0.04,0.06346153846153847,0.12666666666666668,0.084,0.095,0.06,0.01,0.01,0.01,0.0,0.07
216,0.0,0.01,0.15,0.01,0.02,0.03,0.0,0.0,0.0,0.0,0.0
217,0.006666666666666666,0.01,0.14,0.026000000000000002,0.06,0.055,0.0,0.02,0.01,0.01,0.01
218,0.01,0.03,0.05,0.0825,0.08,0.04,0.01,0.01,0.0,0.01,0.02
219,0.08683333333333333,0.028333333333333335,0.13528571428571431,0.2175,0.05,0.1175,0.0,0.10916666666666666,0.0,0.01,0.02
220,0.02,0.03,0.14,0.06,0.08,0.0525,0.01,0.02,0.02,0.0,0.02
221,0.0,0.086,0.02,0.14,0.015,0.0,0.0,0.0,0.0,0.0,0.0
222,0.03166666666666666,0.013333333333333332,0.5360238095238095,0.0925,0.09,0.07400000000000001,0.4002857142857143,0.02,0.0,0.0,0.0
223,0.05,0.028421052631578948,0.08,0.06,0.03,0.11,0.02,0.06,0.1,0.0,0.02
224,0.02,0.01,0.07,0.3443333333333333,0.09,0.09,0.01,0.0,0.01,0.0,0.01
225,0.015,0.08285714285714285,0.205,0.07,0.04666666666666666,0.05,0.02,0.02,0.02,0.0,0.0
226,0.03,0.73,0.055,0.71,0.005,0.03,0.01,0.02,0.01,0.0,0.03
227,0.0,0.08,0.12,0.0625,0.07,0.05,0.01,0.0,0.1,0.0,0.0
228,0.0,0.04,0.07333333333333333,0.03,0.17,0.01,0.01,0.02,0.0,0.01,0.01
229,0.0,0.2942380952380952,0.06,0.04666666666666666,0.03,0.0,0.0,0.0,0.0,0.0,0.0
230,0.0,0.0,0.11,0.01,0.02,0.04,0.01,0.04,0.0,0.0,0.02
231,0.0,0.0,0.08,0.02,0.11,0.04,0.0,0.0,0.0,0.0,0.01
232,0.01,0.11449999999999999,0.154,0.066,0.1,0.06,0.02,0.01,0.03,0.04,0.06
233,0.01,0.006,0.135,0.02,0.09699999999999999,0.05,0.01,0.01,0.07,0.0,0.0
234,0.005,0.02,0.01,0.015,0.005,0.0,0.005,0.01,0.96,0.0,0.0
235,0.0,0.0,0.04,0.013333333333333332,0.02,0.0,0.0,0.01,0.88,0.01,0.02
236,0.02,0.025,0.18133333333333332,0.22985714285714284,0.055,0.0325,0.01,0.013333333333333332,0.06,0.01,0.02
237,0.0,0.28,0.684,0.17,0.69,0.0,0.0,0.08,0.0,0.0,0.0
238,0.0,0.03,0.02,0.013999999999999999,0.04,0.01,0.0,0.03,0.01,0.0,0.04
239,0.0,0.0,0.01,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0
240,0.0,0.05,0.04,0.08199999999999999,0.04,0.08333333333333331,0.02,0.0,0.03,0.0,0.03
241,0.02,0.03,0.11,0.06,0.05416666666666666,0.12666666666666665,0.015,0.01,0.0,0.0,0.01
242,0.0,0.04,0.04333333333333333,0.03,0.0,0.01,0.01,0.0,0.02,0.0,0.013333333333333332
243,0.01,0.03,0.05,0.09,0.04,0.1,0.0,0.01,0.02,0.0,0.07
244,0.01,0.002857142857142857,0.03,0.04,0.03333333333333333,0.04333333333333333,0.0,0.0,0.68,0.0,0.0
245,0.02,0.0,0.11,0.0,0.3,0.37,0.01,0.0,0.0,0.01,0.0
246,0.0,0.01,0.01,0.11,0.18,0.1,0.0,0.0,0.0,0.0,0.0
247,0.0,0.02,0.0,0.02583333333333333,0.10583333333333333,0.05,0.0,0.03833333333333334,0.0,0.0,0.01
248,0.0,0.01,0.02,0.0,0.44,0.23,0.02,0.01,0.0,0.0,0.0
249,0.0,0.02,0.0,0.02,0.02,0.01,0.0,0.005,0.75,0.01,0.0
250,0.005,0.045,0.095,0.04,0.146,0.1,0.0,0.03666666666666667,0.07,0.0,0.06
251,0.01,0.02,0.06,0.08726190476190475,0.17321428571428568,0.03,0.0,0.02,0.06,0.01,0.0
252,0.01,0.03833333333333334,0.07,0.0525,0.03,0.03,0.01,0.0,0.02,0.0,0.02
253,0.01,0.01,0.1125,0.0,0.003333333333333333,0.0,0.0,0.02,0.0,0.0,0.03
254,0.02,0.025,0.04,0.03,0.02,0.03,0.0175,0.02,0.01,0.0,0.01
255,0.0,0.05,0.01,0.11,0.1,0.05,0.0,0.0,0.0,0.0,0.0
256,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0
257,0.01,0.0,0.07,0.09,0.19,0.1,0.0,0.0125,0.0,0.0,0.015
258,0.0,0.04,0.06,0.06333333333333334,0.0,0.01,0.0,0.02,0.0,0.01,0.0
259,0.03,0.02,0.2,0.025,0.08,0.01,0.01,0.01,0.07,0.02,0.04
260,0.0,0.01,0.07,0.04,0.14,0.14,0.02,0.0,0.0,0.01,0.0
261,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0
262,0.02,0.01,0.015,0.03333333333333333,0.1,0.04,0.0,0.02,0.01,0.0,0.0
263,0.094,0.09,0.04,0.03,0.06,0.01,0.01,0.015,0.02,0.0,0.07
264,0.01,0.045,0.06,0.03,0.05,0.07,0.0,0.01,0.01,0.02,0.0
265,0.01,0.036000000000000004,0.175,0.07583333333333334,0.06,0.02583333333333333,0.018333333333333333,0.01,0.0,0.0,0.0
266,0.0,0.01,0.02,0.0,0.07,0.07,0.01,0.03,0.0,0.0,0.03
267,0.02,0.0,0.1,0.04,0.095,0.12,0.01,0.03,0.0,0.01,0.0
268,0.07,0.0,0.04,0.16666666666666663,0.03,0.06,0.0,0.04,0.0,0.01,0.0
269,0.0,0.0,0.04,0.01,0.79,0.65,0.0,0.0,0.0,0.0,0.0
270,0.01,0.01,0.02,0.03,0.11,0.12,0.0,0.02,0.0,0.0,0.01
271,0.0,0.02,0.05,0.11,0.02,0.01,0.01,0.0,0.01,0.0,0.02
272,0.0,0.016166666666666666,0.6261666666666666,0.1375,0.109,0.02,0.01,0.0,0.0,0.0,0.01
273,0.04333333333333334,0.0525,0.16,0.1325,0.03,0.03,0.02,0.04,0.01,0.03,0.0
